seed,params_mean,params_std,params_median,params_percentile_5,params_percentile_10,params_percentile_20,params_percentile_50,params_below_1,params_below_01,params_below_001,params_below_0001
29055,0.05665922,0.03979578,0.052216314,0.0057636780431494115,0.012020748294889928,0.023328392207622534,0.052216313779354095,0.8975159519574025,0.08366495468399263,0.009089302852278248,0.00094567299390834
54100,0.05670188,0.04037474,0.051460452,0.005575087643228472,0.011560387816280127,0.022475290298461913,0.051460450515151024,0.8885009376418007,0.08699789984299017,0.00925795790851668,0.0009657509767938674
20713,0.057566676,0.04069658,0.0525968,0.005603527743369342,0.01177765764296055,0.023153754323720934,0.0525968000292778,0.8857361993984636,0.08559244104100326,0.0091635913889547,0.0007910725256897791
9221,0.05702793,0.040833022,0.051648803,0.005715138488449157,0.011626762710511686,0.02253662236034871,0.05164880119264126,0.8864489677908999,0.08619879612414619,0.008836320267920604,0.0008151661051524119
77796,0.058043413,0.040315866,0.053594943,0.006375048169866204,0.012851648777723315,0.024315597862005232,0.05359494313597679,0.8897497881772806,0.07747491256038454,0.008019146364479639,0.0008151661051524119
31952,0.056305435,0.040128138,0.050758094,0.005288601946085691,0.010926402267068624,0.021670523285865786,0.05075809545814991,0.8860735095109404,0.09183468592011372,0.009577197836396564,0.0009978757494107113
31398,0.05781197,0.039394822,0.05371689,0.0068715386791154765,0.013454277440905571,0.02465864680707455,0.05371689051389694,0.8944319737861856,0.07289713246248429,0.007685851848579884,0.0007970959205554373
25742,0.05777597,0.039752226,0.05366271,0.006546862842515111,0.013097255118191244,0.02432643547654152,0.05366271175444126,0.89425930313337,0.07543097390263785,0.00796092021411161,0.0007810335342470154
64241,0.058042984,0.04159846,0.052769132,0.005706792743876578,0.01181789478287101,0.023286565020680428,0.05276913195848465,0.88321641254633,0.08497002357155191,0.008996944131004823,0.0008854390452517579
71368,0.056809634,0.041210625,0.051007804,0.005320421443320811,0.01097588436678052,0.021654281020164493,0.05100780352950096,0.8820237803629296,0.0914451730521345,0.009422597368178003,0.0010059069425649222
79179,0.05640576,0.042091567,0.049963094,0.005039445497095585,0.010386501997709276,0.0206412959843874,0.04996309615671635,0.8806785555095993,0.09627392793610383,0.010149420348634095,0.0010400395134703188
64128,0.057190362,0.03930413,0.052824736,0.005891911406069994,0.012119841761887075,0.023650832474231727,0.05282473377883434,0.8925908227555827,0.08300438904705877,0.008517080340040718,0.0008372518863264921
41907,0.05621037,0.040884763,0.050471,0.0053949744906276464,0.010931223817169669,0.02134291306138039,0.050471002236008644,0.8872179545354155,0.09169614783820358,0.009396495990426818,0.0009637431785053147
89753,0.057279754,0.04071992,0.05202983,0.005917822755873203,0.011939694359898568,0.022881580516695976,0.05202982947230339,0.8860192989571496,0.08392396066321593,0.008501017953732296,0.0008051271137096482
12180,0.057626072,0.04094028,0.05282021,0.005880477954633534,0.012266840785741806,0.0237117238342762,0.05282020941376686,0.8903762212433091,0.08248637708861217,0.00874596934493573,0.0009476807921968927
43600,0.057570733,0.040057026,0.05315291,0.006462043407373131,0.01301698898896575,0.024116290733218193,0.053152913227677345,0.8940103361455894,0.0764188106606058,0.008011115171325429,0.0008653610623662305
97529,0.056538064,0.040291443,0.05130315,0.005782129196450114,0.011690894700586797,0.022458772361278533,0.05130314640700817,0.8911311533998049,0.0855824020495605,0.008806203293592312,0.0008754000538089942
42595,0.05669625,0.041112218,0.05085601,0.0053362464532256135,0.010868970490992072,0.021292435377836233,0.05085601098835468,0.8811503881074092,0.09229246392990374,0.009514956089451429,0.0009878367579679475
61759,0.05625365,0.04110382,0.050266996,0.005214900639839471,0.01065088203176856,0.021015900745987894,0.050266994163393974,0.8836681671612543,0.09411755257419818,0.009699673531998281,0.0009516963887739982
64945,0.05570802,0.04167825,0.049143296,0.004921838152222336,0.010063062701374293,0.020031334087252616,0.04914329573512077,0.8820639363287007,0.09938802308164912,0.010464644679936875,0.0010360239168932133
37247,0.057569575,0.04041972,0.052630436,0.005922347935847939,0.012137331161648036,0.023291656747460372,0.052630435675382614,0.8861979930048307,0.08272932068152705,0.008758016134667047,0.0008974858349830743
60211,0.05813477,0.03995855,0.05377365,0.00634670271538198,0.012964700534939767,0.024484967440366753,0.05377364903688431,0.8896614450525843,0.07730424970585754,0.00832834730091676,0.0008352440880379393
65555,0.056462895,0.041352037,0.050483003,0.005228431755676866,0.010770280100405217,0.021294427290558814,0.05048300325870514,0.8836581281698116,0.09323412132723498,0.009994819880415534,0.0009878367579679475
51863,0.05690392,0.041361533,0.05105324,0.0052284265635535124,0.01081691524013877,0.021613551303744316,0.0510532408952713,0.8796686329704573,0.09269201578932575,0.010040999241052248,0.001030000522027555
50886,0.057102848,0.040015075,0.05209039,0.005789241823367775,0.011864615604281425,0.022875099629163745,0.052090393379330635,0.8871276036124307,0.08462669006420939,0.00870179778258757,0.0008653610623662305
84454,0.057375412,0.041204147,0.05216614,0.005470585962757468,0.01139477612450719,0.022684362903237342,0.05216614156961441,0.8857924177505431,0.08839934304839998,0.009553104256933932,0.0009898445562565002
13370,0.05769085,0.041170366,0.05229353,0.0055526729440316565,0.011466961167752743,0.022730259597301485,0.052293531596660614,0.88013644997169,0.08758618474153612,0.009201739556437202,0.0008794156503860996
98888,0.05802447,0.04153599,0.05268372,0.005876804143190384,0.01205593077465892,0.02345587983727455,0.052683718502521515,0.8832666075035438,0.08328146521087905,0.009013006517313245,0.000883431246963205
68256,0.05689903,0.040016595,0.051987816,0.005709626711905003,0.011698257457464934,0.022821972891688348,0.05198781564831734,0.8901131996675086,0.08550610571459549,0.008860413847383236,0.0008754000538089942
4088,0.0573115,0.04057688,0.052266166,0.005887109693139792,0.012007568590343,0.022999767586588865,0.052266163751482964,0.8877761224596332,0.08352240100550538,0.008792148705572444,0.0009195716161571544
8646,0.05741132,0.04039695,0.052416332,0.005743439611978829,0.011933276150375606,0.02312007211148739,0.05241633020341396,0.886605576057407,0.08448413638572215,0.008770062924398364,0.000861345465789125
21721,0.056733087,0.04022752,0.051668532,0.005381563073024154,0.01121756387874484,0.02237993106245995,0.05166853219270706,0.888832224359412,0.08941528898240766,0.009549088660356825,0.0010239771271618968
30419,0.057459272,0.04135545,0.052153815,0.005715374974533916,0.011811075359582902,0.022865998372435574,0.0521538145840168,0.8862120475928507,0.08511659284661625,0.009183669371840227,0.000907524826425838
27459,0.056640092,0.041543845,0.050500765,0.005089695448987187,0.010515179857611657,0.021060394495725634,0.050500763580203056,0.879050231097583,0.09520577924659376,0.009954663914644479,0.0010199615305847914
53090,0.057925604,0.040360615,0.053245723,0.005981312762014568,0.012321560364216567,0.02385134994983673,0.05324572138488293,0.885828558119737,0.08188805319862345,0.008643571632219542,0.0008392596846150449
88880,0.057229687,0.041907243,0.051282078,0.0054251495748758325,0.011271900590509176,0.022180432826280596,0.05128207616508007,0.8831079914387481,0.08930486007653728,0.009535034072336957,0.0008854390452517579
53324,0.058027536,0.041809894,0.052622452,0.0058586328290402894,0.011963109485805038,0.023144133388996124,0.05262245051562786,0.881851109710114,0.08409863911432001,0.008984897341273506,0.0009336262041770236
77723,0.05720604,0.038157955,0.053692922,0.00669346007052809,0.013460429944097997,0.024985996261239055,0.05369292385876179,0.9037863060125527,0.07383678206152697,0.007721992217773833,0.000722807383878986
87637,0.057646677,0.040620346,0.052774858,0.00613268641754985,0.012412194907665253,0.023429912701249122,0.052774857729673386,0.887920683936409,0.08014929988073678,0.00848093997084677,0.0008573298692120195
53818,0.056922384,0.04054461,0.051849328,0.005516717815771699,0.011404999438673258,0.022514735534787177,0.051849329844117165,0.888189728907075,0.0882668283613555,0.009440667552774978,0.0010440551100474242
95291,0.055919893,0.040600754,0.050345745,0.005419631651602687,0.01101811304688454,0.02138590179383755,0.05034574493765831,0.8898682482763052,0.09096932485774749,0.009452714342506295,0.0009496885904854454
88222,0.056739274,0.0414088,0.05091282,0.005591010791249574,0.011356675066053867,0.021923921257257464,0.05091282166540623,0.8868184026759935,0.0879736898112268,0.009095326247143907,0.0008854390452517579
21370,0.057618894,0.03884977,0.053850837,0.006404728488996625,0.013227853178977967,0.024988255277276043,0.05385083518922329,0.8991422685711302,0.07645896662637684,0.008155676648101224,0.0007870569291126736
60702,0.058193736,0.04095109,0.05328308,0.006073995376937092,0.012519631907343865,0.023913916200399402,0.0532830823212862,0.8851679924828032,0.0804585008171739,0.008517080340040718,0.00094567299390834
49786,0.05698631,0.039764665,0.052462623,0.005676209670491517,0.01187178585678339,0.023299659043550493,0.05246262066066265,0.8920125768484795,0.08484152448108453,0.009043123491641535,0.0008954780366945216
84695,0.05628948,0.040134415,0.050811026,0.00537022571079433,0.011092632822692397,0.021729988604784013,0.050811026245355606,0.8868023402896852,0.09047339868047496,0.009480823518546034,0.0009657509767938674
34427,0.05681353,0.040891193,0.05153898,0.00537519119679928,0.011314492393285037,0.022245874628424644,0.0515389833599329,0.8875954206136635,0.08894747198117488,0.009633416188476041,0.0008954780366945216
45406,0.057091802,0.041017078,0.05151482,0.005480196978896857,0.011289341188967229,0.022171177715063096,0.05151481740176678,0.883350935031663,0.08895751097261764,0.009282051487979311,0.0009155560195800489
19440,0.057080667,0.039296996,0.05265324,0.0062231149990111595,0.012587681878358126,0.023738951236009602,0.05265324003994465,0.8944821687433994,0.07936625854820122,0.008175754630986753,0.0008472908777692558
66780,0.057412636,0.040059,0.052562296,0.005847406480461361,0.011928325984627012,0.0230565931648016,0.052562298253178596,0.8861738994253682,0.08396411662898698,0.008808211091880866,0.0008754000538089942
38949,0.058214016,0.041327916,0.053134147,0.006212209211662411,0.012589607667177916,0.0238080408424139,0.05313414707779884,0.8861337434595971,0.07926787643206212,0.008185793622429516,0.0007730023410928045
64260,0.05693408,0.042011026,0.050538756,0.005252180341631174,0.010807754378765822,0.02130211628973484,0.05053875595331192,0.8781768388420625,0.09262375064751495,0.009432636359620767,0.0009195716161571544
50324,0.056025263,0.04180181,0.04949955,0.004998655244708061,0.010272321943193673,0.020443425327539445,0.049499547109007835,0.881636275293239,0.09734207662561388,0.0100430070393408,0.0010581096980672934
41168,0.056880563,0.0408015,0.051286496,0.005439365957863629,0.011312395613640547,0.022025207430124285,0.051286496222019196,0.8837163543201796,0.08877480132835935,0.009484839115123139,0.0009095326247143907
4556,0.05709669,0.040356617,0.051895197,0.005630052904598415,0.011599823553115132,0.02253120690584183,0.05189519748091698,0.8853326319424646,0.08653610623662304,0.008872460637114553,0.0008954780366945216
86998,0.056134507,0.040763803,0.050370578,0.0053094594040885585,0.010956723336130384,0.02135350741446019,0.05037057772278786,0.8870151669082718,0.09158371113404463,0.009474800123680375,0.0009938601528336056
2409,0.05650953,0.040854156,0.05066522,0.005357612692750991,0.010943250916898252,0.021601591259241104,0.05066521838307381,0.883848869007224,0.09157367214260187,0.009615346003879066,0.0009396495990426818
14664,0.056534804,0.04045711,0.051269002,0.005748384771868587,0.01159005342051387,0.022216274589300155,0.05126900039613247,0.8894747198117489,0.0863293030129021,0.00865762622023941,0.000845283079480703
52867,0.057174712,0.041070603,0.051718783,0.005407663807272911,0.011141410656273368,0.021944309771060943,0.051718782633543015,0.8811784972834489,0.09001361287239638,0.009396495990426818,0.0009617353802167618
9866,0.058033217,0.04071875,0.052923497,0.005824445583857596,0.011949477903544902,0.02326091527938843,0.052923496812582016,0.8797951242626361,0.08392797625979304,0.008808211091880866,0.0008874468435403106
94519,0.05681072,0.04030381,0.051945787,0.005826513096690179,0.011869671940803527,0.02282526157796383,0.05194578692317009,0.892243473651663,0.08437571527814029,0.00880419549530376,0.0008874468435403106
88604,0.05704077,0.041985452,0.051065765,0.005316829867661,0.011017476208508016,0.021762090176343923,0.05106576532125473,0.8832726308984095,0.09132872075139843,0.009659517566227226,0.0009396495990426818
68694,0.058274906,0.04085342,0.053536337,0.006456417310982942,0.012957748491317034,0.02420981042087078,0.05353633686900139,0.8876717169486285,0.07705729051636556,0.007928795441494765,0.0007589477530729353
63875,0.056932107,0.040385846,0.05174665,0.0057271804194897425,0.011623210925608874,0.02250043004751206,0.05174665339291096,0.8868043480879737,0.08601407868159933,0.008667665211682173,0.0008332362897493866
20937,0.056828342,0.04213351,0.050678477,0.005277738883160055,0.010733170341700316,0.021028084680438045,0.05067847855389118,0.8786928430022206,0.09329435527589157,0.009394488192138265,0.0009095326247143907
16426,0.057676677,0.041043688,0.052755963,0.005734924343414605,0.011803687177598478,0.023211698979139328,0.05275596305727959,0.8872440559131667,0.08503628091507415,0.00892064779603982,0.0009396495990426818
42675,0.05702879,0.041139577,0.051528253,0.0054787858622148645,0.011390379536896944,0.022310343384742738,0.05152825266122818,0.8848106043874409,0.08820659441269892,0.009259965706805231,0.0009135482212914962
52142,0.056562956,0.040189564,0.05155024,0.00575737776234746,0.011660905368626118,0.022411244735121728,0.05155024118721485,0.8906613286002835,0.08587754839797775,0.008934702384059688,0.0009235872127342599
1237,0.057292737,0.041520007,0.05180979,0.005805139848962426,0.011652306001633406,0.022495276108384137,0.05180979147553444,0.8858185191282943,0.08552016030261536,0.008623493649334013,0.0008774078520975469
81654,0.057721753,0.04086479,0.052843403,0.006318373535759748,0.01255817487835884,0.02357458658516407,0.052843403071165085,0.8886234133374025,0.07915142413132607,0.008113512884041617,0.0008312284914608339
45624,0.057690073,0.04187751,0.052008487,0.005569446692243219,0.01151271965354681,0.022562496736645697,0.05200848542153835,0.8816623766709901,0.08728702279654177,0.009167606985531805,0.0009175638178686017
15493,0.057709143,0.041163344,0.052417092,0.005944800563156605,0.012056447193026542,0.0229561597108841,0.05241709016263485,0.8833609740231058,0.08273735187468126,0.008727899160338755,0.0009035092298487324
46842,0.057867434,0.040530093,0.05302649,0.005881033395417035,0.01216465346515179,0.02362668663263321,0.05302648991346359,0.8846600195157993,0.08252854085267178,0.008735930353492967,0.0007950881222668846
98460,0.057050318,0.03992196,0.052342404,0.00608456963673234,0.012398955505341295,0.02334006689488888,0.052342403680086136,0.8920306470330764,0.0805227503624076,0.008571290893831643,0.0008894546418288633
69187,0.05693598,0.03866626,0.052929465,0.006656702118925752,0.013067094329744577,0.024040401726961137,0.05292946472764015,0.8984616249513109,0.07531251380361323,0.007760140385256336,0.000845283079480703
78219,0.056860056,0.040447697,0.051587615,0.005732257291674614,0.011645004991441965,0.022357475757598878,0.05158761516213417,0.8861738994253682,0.08599801629529091,0.008828289074766392,0.0008432752811921503
55221,0.05761695,0.041006204,0.052330956,0.005829949490725995,0.012046144250780344,0.0232811838388443,0.05233095586299896,0.885918909042722,0.08334973035268985,0.008776086319264022,0.0009356340024655763
93572,0.057062283,0.039851826,0.05232039,0.00577216986566782,0.011879155784845353,0.023129348829388625,0.052320390939712524,0.8897538037738577,0.08461062767790097,0.008932694585771134,0.0007950881222668846
32345,0.057340864,0.040696338,0.05210398,0.005689588701352478,0.011642929073423151,0.022574952244758605,0.052103979513049126,0.8821141312859145,0.08601407868159933,0.008952772568656663,0.0009878367579679475
61215,0.056119725,0.041143876,0.050187666,0.005178494169376792,0.010595271084457637,0.02101019807159901,0.05018766596913338,0.885936979227319,0.09450706544217742,0.009675579952535648,0.0010320083203161077
23792,0.056939866,0.041344665,0.051155023,0.005312094232067466,0.010930763930082323,0.021674880012869838,0.05115502141416073,0.8817467041991094,0.091559617554582,0.009458737737371953,0.0009496885904854454
5317,0.05654869,0.03841456,0.052366868,0.005769413290545346,0.012087551783770323,0.023232656344771386,0.052366865798830986,0.8951226563974477,0.08363885330624145,0.008974858349830743,0.0009035092298487324
35214,0.057622697,0.039966404,0.053036876,0.006025051674805582,0.012280291318893433,0.023633549734950066,0.053036877885460854,0.8899224588300961,0.08154070409470383,0.008565267498965985,0.0008794156503860996
76775,0.056777295,0.041275036,0.05091879,0.005326647823676467,0.010996598936617377,0.021773752942681315,0.05091879144310951,0.884208264900875,0.09102554320982696,0.009474800123680375,0.000977797766525184
78485,0.05676353,0.04110057,0.051311925,0.005495205661281944,0.01135815465822816,0.022186549752950674,0.0513119250535965,0.8879929646747969,0.08848969397138486,0.009282051487979311,0.0009175638178686017
5480,0.057865515,0.041083578,0.05276581,0.006181823811493814,0.012435609940439464,0.02349108718335629,0.05276581086218357,0.887484991707793,0.08011115171325428,0.008290199133434258,0.0007930803239783318
24906,0.056847993,0.040087957,0.05191677,0.006222409661859275,0.01235083555802703,0.02300459854304791,0.05191677249968052,0.8927594778118211,0.08024768199687586,0.008278152343702942,0.0007549321564958298
90014,0.0570675,0.03975713,0.052719798,0.005789450369775296,0.012163897976279259,0.023716682195663454,0.05271979793906212,0.8960442358118934,0.08325134823655077,0.008956788165233768,0.0009035092298487324
23757,0.058197927,0.040130936,0.05385942,0.0063039337052032355,0.01301911761984229,0.024722294136881828,0.053859420120716095,0.889864232679728,0.07747491256038454,0.008258074360817415,0.0007589477530729353
82665,0.05705574,0.041527405,0.051093947,0.005256460187956691,0.010767976753413677,0.021408282592892645,0.051093947142362595,0.8776568190853274,0.09319597315975248,0.010063085022226328,0.0009396495990426818
77349,0.056701157,0.04053565,0.051126383,0.005345488875173033,0.011144754197448493,0.022060486301779748,0.0511263832449913,0.884262475454666,0.09024651747386851,0.009484839115123139,0.0009516963887739982
72917,0.055642817,0.040056616,0.049974777,0.005140106170438231,0.010601089335978033,0.02085010670125485,0.04997477866709232,0.887615498596549,0.09448497966100333,0.009916515747161977,0.0009356340024655763
4501,0.058639865,0.04097192,0.05400622,0.006730419863015416,0.013416360784322024,0.024771788716316228,0.054006218910217285,0.8893642909058784,0.07396528115199434,0.007647703681097382,0.0007509165599187244
43685,0.056888327,0.041079957,0.051094815,0.00533763044513762,0.010903248190879821,0.02158995866775513,0.051094815135002136,0.8808391793726835,0.09174232719884029,0.009338269840058788,0.00094567299390834
4667,0.056182288,0.041164752,0.0503696,0.005386447533965111,0.010857631545513868,0.02104812376201153,0.05036960169672966,0.885806472338563,0.09203747354725755,0.009294098277710628,0.0009356340024655763
32220,0.056982897,0.040087014,0.052080892,0.005684384843334556,0.01157253971323371,0.022585373371839523,0.05208089016377926,0.8863425544816066,0.08667665211682174,0.008892538620000081,0.0008814234486746523
51839,0.057188828,0.04107822,0.051665246,0.005633305641822517,0.011492096725851301,0.02230370230972767,0.05166524648666382,0.8837745804705476,0.0871926562769798,0.00903107670191022,0.0009115404230029434
94246,0.056702748,0.04027409,0.051747896,0.005972862429916859,0.012126959115266801,0.02282469719648362,0.051747893914580345,0.8937874705355601,0.08245626011428388,0.008523103734906376,0.0008633532640776777
15637,0.056937072,0.04106685,0.05132261,0.0053755002329126,0.011056362558156252,0.02176047638058663,0.051322607323527336,0.8818671720964225,0.09065610832473327,0.009571174441530906,0.0009235872127342599
17787,0.057544738,0.040839896,0.05242302,0.005801286781206727,0.011974151898175479,0.0231052465736866,0.05242301896214485,0.8855695521405138,0.08412674829035975,0.008739945950070072,0.0008312284914608339
