epoch,training_loss,testing_loss,training_accuracy,testing_accuracy
1,41469.527587890625,6994.0615234375,76.645,76.49
2,16680.234008789062,2733.8116455078125,91.84166666666667,91.75
3,10552.551513671875,1853.8727416992188,94.73166666666667,94.24
4,7500.818267822266,1385.0124969482422,96.27166666666666,95.89
5,5782.411636352539,1199.506591796875,97.07,96.45
6,4752.95539855957,1114.9438781738281,97.58,96.57
7,3872.3899688720703,985.0708923339844,98.075,96.97
8,3315.627426147461,958.4647827148438,98.35,97.15
9,3115.708053588867,987.0763854980469,98.30833333333334,97.15
10,2295.786651611328,924.7452239990234,98.875,97.41
11,1939.3229751586914,918.6767272949219,99.04666666666667,97.46
12,1650.4304809570312,895.1701354980469,99.20166666666667,97.63
13,1425.1572303771973,913.1954498291016,99.33833333333334,97.55
14,1211.1079139709473,903.7399444580078,99.45833333333333,97.74
15,974.0774421691895,929.2641296386719,99.59,97.73
16,865.9982147216797,941.4910430908203,99.64166666666667,97.76
17,775.5768356323242,968.5670166015625,99.69166666666666,97.82
18,653.2754058837891,974.1949462890625,99.77333333333333,97.75
19,576.2167129516602,1019.7765960693359,99.79333333333334,97.81
20,523.5401821136475,1029.591552734375,99.82833333333333,97.81
21,464.43821811676025,1077.134017944336,99.84666666666666,97.81
22,407.5332946777344,1070.4224090576172,99.875,97.8
23,373.73502826690674,1095.5925598144531,99.88833333333334,97.81
24,346.8241157531738,1107.7274475097656,99.905,97.84
25,320.05350399017334,1115.7517395019531,99.92,97.77
26,297.4110231399536,1137.5723571777344,99.93166666666667,97.77
27,282.86978244781494,1139.7292938232422,99.93833333333333,97.75
28,268.9010639190674,1156.8003234863281,99.93666666666667,97.83
29,252.37992668151855,1174.4119262695312,99.95,97.79
30,242.47325134277344,1185.1000061035156,99.95,97.75
31,232.53823280334473,1187.6643524169922,99.95166666666667,97.79
32,224.6572551727295,1193.7378387451172,99.95333333333333,97.79
33,216.7511339187622,1216.3161315917969,99.95666666666666,97.75
34,210.48185205459595,1209.0752258300781,99.96,97.77
35,204.58192348480225,1222.9954986572266,99.96333333333334,97.76
36,199.44619226455688,1221.7920379638672,99.96666666666667,97.77
37,194.38977336883545,1231.359130859375,99.96833333333333,97.77
38,190.18597316741943,1234.3275756835938,99.96666666666667,97.79
39,186.64049100875854,1236.6819305419922,99.96833333333333,97.78
40,183.49662733078003,1242.6317901611328,99.97,97.77
41,180.8960256576538,1248.8036804199219,99.97,97.78
42,178.21958112716675,1246.3045196533203,99.97,97.79
43,176.07269763946533,1252.4795684814453,99.97166666666666,97.76
44,173.80588102340698,1253.7252502441406,99.97,97.77
45,172.18548965454102,1257.8243255615234,99.97166666666666,97.77
46,170.4782361984253,1256.625,99.97166666666666,97.78
47,169.02825689315796,1260.4642944335938,99.97166666666666,97.76
48,167.59555387496948,1261.8133239746094,99.97166666666666,97.75
49,166.4414300918579,1262.6581726074219,99.97166666666666,97.78
50,165.3527855873108,1264.2924194335938,99.97166666666666,97.75
51,164.36454963684082,1266.733642578125,99.97333333333333,97.76
52,163.52339887619019,1266.7251892089844,99.97333333333333,97.76
53,162.75491905212402,1267.5310974121094,99.97166666666666,97.78
54,161.99697303771973,1269.7831268310547,99.97333333333333,97.78
55,161.3216676712036,1269.2706146240234,99.97333333333333,97.75
56,160.74864149093628,1270.5104217529297,99.97333333333333,97.78
57,160.19829893112183,1272.0889892578125,99.975,97.78
58,159.70912504196167,1272.3138885498047,99.975,97.77
59,159.29467582702637,1272.620132446289,99.975,97.76
60,158.8725438117981,1273.360366821289,99.975,97.77
61,158.51424551010132,1274.205795288086,99.975,97.77
62,158.2009482383728,1274.5023803710938,99.975,97.76
63,157.89282846450806,1275.0686340332031,99.975,97.77
64,157.62792110443115,1275.4125671386719,99.975,97.77
65,157.3813557624817,1275.5105743408203,99.975,97.77
66,157.158700466156,1275.8328704833984,99.975,97.77
67,156.97729110717773,1275.8651885986328,99.975,97.75
68,156.7891845703125,1276.2988891601562,99.975,97.76
69,156.63450384140015,1276.5501098632812,99.975,97.76
70,156.47237968444824,1276.8117980957031,99.975,97.77
71,156.329815864563,1277.0419616699219,99.975,97.77
72,156.20916271209717,1277.1770782470703,99.975,97.77
73,156.09875345230103,1277.2693634033203,99.975,97.77
74,156.00048875808716,1277.4859161376953,99.975,97.77
75,155.90692710876465,1277.532730102539,99.975,97.77
76,155.82384991645813,1277.688491821289,99.975,97.77
77,155.74895763397217,1277.7929382324219,99.975,97.77
78,155.6770257949829,1277.8861083984375,99.975,97.77
79,155.6161584854126,1278.0093994140625,99.975,97.77
80,155.55895233154297,1278.1224060058594,99.975,97.77
81,155.50851202011108,1278.1412506103516,99.975,97.77
82,155.46328258514404,1278.253677368164,99.975,97.77
83,155.42223691940308,1278.2770538330078,99.975,97.77
84,155.38232421875,1278.2925109863281,99.975,97.77
85,155.34889030456543,1278.3944396972656,99.975,97.77
86,155.31692028045654,1278.4359436035156,99.975,97.77
87,155.28768587112427,1278.438720703125,99.975,97.77
88,155.26232624053955,1278.4573974609375,99.975,97.77
89,155.2387557029724,1278.485336303711,99.975,97.77
90,155.21740531921387,1278.5386657714844,99.975,97.77
91,155.1985068321228,1278.5562133789062,99.975,97.77
92,155.18089199066162,1278.5891418457031,99.975,97.77
93,155.16592359542847,1278.627197265625,99.975,97.77
94,155.1514048576355,1278.6386413574219,99.975,97.77
95,155.1380100250244,1278.6554565429688,99.975,97.77
96,155.12646532058716,1278.6576538085938,99.975,97.77
97,155.11626482009888,1278.6815338134766,99.975,97.77
98,155.10659742355347,1278.6976318359375,99.975,97.77
99,155.09788179397583,1278.7006530761719,99.975,97.77
100,155.0901608467102,1278.7212982177734,99.975,97.77
